Subject,Stimulus,Response,Confidence,Correct,Contrast,Hand,RT_Decision,RT_Confidence
1,1,2,1,0,2,1,4.23634825799672,0.317870839004172
1,2,2,3,1,1,2,0.76581598300254,1.57508118401165
1,2,2,2,1,2,2,2.15412951100734,2.89614018800785
1,2,2,2,1,1,2,1.65234703100577,2.48585413800902
1,2,2,4,1,2,1,0.822568714007502,0.556336670997553
1,1,2,3,0,1,2,1.25943891100178,1.69906296700356
1,1,2,2,0,1,2,1.32242538400169,1.91260680800769
1,1,1,1,1,2,1,1.18671218000236,0.313764149002964
1,1,1,2,1,1,2,2.35449869799777,3.43494899000507
1,2,2,3,1,2,2,0.784737216003123,1.23414486300317
1,1,1,4,1,1,1,0.902812105996418,0.312604391001514
1,1,1,2,1,2,1,1.31975088299077,0.56033644299896
1,2,2,3,1,2,1,0.724415632997989,0.630988706005155
1,2,2,3,1,2,2,1.0438427629997,1.45146020399989
1,1,1,4,1,2,1,0.767569397008629,0.270263418002287
1,2,2,3,1,2,2,0.776729914010502,1.15381459300988
1,2,1,1,0,2,1,0.850054594004177,0.502753645007033
1,1,1,2,1,2,2,1.29566478999914,2.47271088299749
1,1,1,2,1,1,2,0.940567439989536,1.74941766400298
1,1,1,1,1,1,2,1.08781646699936,2.00884785800008
1,2,2,3,1,1,2,0.816341678000754,1.63236929700361
1,1,2,2,0,1,2,1.1119475410087,1.59024561900878
1,1,1,3,1,1,1,0.990366878002533,0.540834640996763
1,1,1,2,1,1,2,0.987841634007054,1.45159155000874
1,1,2,1,0,1,2,2.33239083900116,3.11633611799334
1,2,2,3,1,1,1,1.0522556299984,0.552215870004147
1,2,2,1,1,1,2,2.58242283599975,3.10252280399436
1,2,2,1,1,1,1,1.01577607600484,0.349117306002881
1,2,1,2,0,2,2,1.924875865996,3.90108232299099
1,2,2,3,1,1,2,1.05657915399934,1.47076725000807
1,2,2,4,1,2,2,0.758017252999707,1.22152345400536
1,2,2,2,1,2,1,1.10001602199918,0.854569164002896
1,2,2,4,1,2,1,0.638101189004374,0.419229646009626
1,1,1,1,1,1,2,1.33483427400643,3.07251945699682
1,2,2,4,1,2,1,0.729297343001235,0.290490836006938
1,1,1,3,1,1,2,1.11681094601227,1.54883221600903
1,1,2,3,0,1,1,0.837568068993278,0.314340655997512
1,2,2,4,1,2,1,0.69627618699451,0.26696730000549
1,2,2,4,1,1,1,0.68292516299698,0.286212185004842
1,1,1,2,1,1,1,1.07689921600104,0.896419053999125
1,2,2,4,1,2,2,1.02614263699797,1.59491774099297
1,2,2,4,1,2,2,0.732186174005619,1.57228672099882
1,1,1,1,1,1,2,1.62975250100135,2.42922473799263
1,2,2,4,1,2,1,0.802257290997659,0.320536814004299
1,1,1,3,1,2,2,1.17763105699851,1.7373854109901
1,1,2,3,0,2,2,1.07657451400883,1.7740194049984
1,1,1,3,1,2,2,1.07219990600424,1.49448576700524
1,2,2,4,1,1,1,1.25797828000213,0.357911951999995
1,1,1,3,1,2,1,1.53008751399466,0.555125121012679
1,1,2,3,0,1,2,1.04078451200621,1.87285791199247
1,2,2,4,1,1,1,0.797191543999361,4.57123134299763
1,1,1,2,1,1,1,1.06679117699969,0.557458752009552
1,1,1,2,1,2,2,1.90856033599994,2.67755392000254
1,2,2,3,1,2,2,0.921174089002307,1.35457531899738
1,1,1,2,1,1,1,0.79422467299446,0.378083094998146
1,2,2,3,1,2,2,1.04101226999774,1.46499822000624
1,2,2,3,1,2,1,0.948457962003886,1.80454451701371
1,1,1,3,1,2,1,0.765563824999845,0.501315393004916
1,2,2,3,1,1,1,0.651233288997901,1.04832006299694
1,2,2,4,1,2,2,1.19462722699973,2.17176201300754
1,2,2,4,1,1,1,0.809870269004023,0.248400904005393
1,1,2,4,0,2,1,0.841401422003401,0.342431291996036
1,1,1,3,1,2,1,1.41132068600564,2.03338799899211
1,2,2,4,1,2,1,0.680227160992217,0.323545765000745
1,2,1,3,0,1,2,1.02829915499024,1.48420353099937
1,1,1,3,1,1,1,0.782833105011377,0.662101281996001
1,1,1,2,1,2,2,0.975886211002944,1.44847242199467
1,2,1,1,0,1,2,1.22504132799804,1.88155643000209
1,2,2,3,1,1,1,0.875693730005878,0.335355310002342
